94,-165.5,-225
9,-225.5,-211
72.5,-199.5,-204
36,-145.5,-206
65,-174.5,-205
0.5,-136,-212
-3.5,-107.5,-224
95,-115,-224
83,-145.5,-206
70.5,-125.5,-206
109,-204,-216
27.5,-133.5,-197
78,-228.5,-197
199.5,-233,-217
123.5,-235,-217
140,-173.5,-217
186,-130,-218
182,-235,-209
147.5,-237,-210
131,-169.5,-210
174.5,-207,-198
163.5,-178,-204
205.5,-234.5,-204
139.5,-94,-223
115,-37,-221
159,-78.5,-217
175.5,-57.5,-211
189.5,-54.5,-203
129.5,-24.5,-210
194.5,-120,-203
188,-137.5,-203
218.5,-120.5,-205
53,-96,-229
55.5,-75,-230
126,-7,-226
-5,-78.5,-224
70.5,-55,-204
92.5,-84,-208
96,-59,-212
68,-83,-204
-3.5,-110,-200
19.5,-227,-188
20.5,-177.5,-185
65,-151,-186
100,-221.5,-184
-6,-120,-181
57.5,-127.5,-175
51.5,-207,-167
67.5,-207,-174
109,-136.5,-160
38,-118.5,-160
30,-232,-152
109,-191.5,-158
104,-118,-195
25,-12,-196
57.5,-28,-187
26.5,-29.5,-187
119.5,-16,-193
66,-69,-187
124,-42,-176
48.5,-58.5,-174
27.5,-72,-170
87,-11,-159
50,-90.5,-157
45,-39.5,-157
28,-72,-150
28.5,-90.5,-151
56,-54.5,-152
80,-39.5,-150
239.5,-67.5,-192
239.5,-67.5,-192
235.5,-66,-183
216.5,-121.5,-189
136.5,-60,-187
177,-52.5,-183
112,-66.5,-194
173,-81.5,-187
172,-31.5,-173
129,-5.5,-167
213,-73,-165
214.5,-105.5,-161
135.5,-68.5,-161
173.5,-73.5,-152
191,-38,-154
116.5,-121,-151
199,-195,-156
125,-146,-196
175,-210,-191
215.5,-185.5,-184
145,-183.5,-185
164.5,-142.5,-172
138,-139,-172
216.5,-174,-158
174.5,-166,-162
203.5,-208,-153
198.5,-217.5,-153
122,-147,-146
148.5,-125,-143
224,-174,-147
157,-147.5,-123
191.5,-175,-105
225,-135,-105
230,-150,-121
235,-239.5,-121
234,-191,-121
180.5,-202.5,-122
123.5,-233.5,-119
137,-234.5,-119
123.5,-149.5,-133
117,-194,-122
189.5,-172,-114
99.5,-237.5,-147
111,-212.5,-144
85.5,-147.5,-146
90,-163.5,-144
33.5,-143.5,-146
61,-241.5,-148
31,-184,-132
57.5,-194.5,-129
19.5,-188.5,-114
11.5,-169,-109
38,-142,-107
